20220920	16:06:52	6bb2eef6-ef73-4162-a545-c848738281dd	POST	undefined	/auth
20220920	16:07:07	6fe29fac-fb66-4ac2-b934-85a663fb3851	DELETE	undefined	/employees
20220920	16:07:40	48069278-f442-43dc-841c-c878088f88b1	POST	undefined	/auth
20220920	16:07:53	ba3ba9af-5456-449c-b32b-e2c2e5f33956	POST	undefined	/employees
20220920	16:08:07	1ddffc7e-4cf5-4c50-8932-0d1c7090e3ab	DELETE	undefined	/employees
20220920	16:08:10	02e7c338-e481-45f3-8583-1b5450f609ec	DELETE	undefined	/employees
20220920	16:08:12	42e16dfe-ab45-4d2f-b8b3-5a34cb00455d	DELETE	undefined	/employees
20220920	16:09:33	b0351222-e52a-48e9-8506-c379a2037b16	POST	undefined	/auth
20220920	16:09:44	467809aa-dbdc-498a-8d0f-6fe4262fb88c	DELETE	undefined	/employees
20220920	16:10:34	627b092c-55c7-43e0-b056-d712c03014c9	DELETE	undefined	/employees
20220920	16:10:37	351de69c-62c9-49d8-bb95-b8e0ac2a3d84	POST	undefined	/auth
20220920	16:10:50	ac322616-68f5-417f-870e-5f1034acbac8	DELETE	undefined	/employees
20220920	18:39:03	ce8c2aeb-969a-4d29-9d11-e033899aa574	POST	undefined	/register
20220920	18:39:53	6880feb5-e6c8-46b0-a78d-e809881c7f2f	POST	undefined	/register
20220920	18:44:06	f8896f01-e3fb-462c-af8c-530f93ccf7a8	POST	undefined	/register
20220920	18:44:11	3eb6cf0a-e03d-46fa-995a-e9ed94380ba9	POST	undefined	/register
20220920	19:45:57	d464f641-971d-4ca3-a6c2-5dc986019686	POST	undefined	/register
20220920	19:46:06	cba20e4e-ea80-4b67-bf9a-9c74c4f96957	POST	undefined	/register
20220920	19:46:43	578e0ded-8c83-417d-af20-328f4fbe735f	POST	undefined	/auth
20220920	19:47:36	370d45c9-a19d-4647-a5f0-e90d9aaf2003	GET	undefined	/refresh
20220920	19:48:27	4f71b067-0ee9-4f92-84a9-ea4cb4429e37	GET	undefined	/refresh
20220920	19:48:38	22ee323c-c900-4af0-ba08-fb90bce02972	GET	undefined	/refresh
20220920	19:48:42	39f6b859-b0b1-4da2-a074-0b141d6628bf	GET	undefined	/logout
20220920	19:49:08	8c5c7a02-ac7f-4512-9363-692e1b36dccd	GET	undefined	/refresh
20220920	19:49:13	dc941bca-56d2-4243-9398-3049deed939c	POST	undefined	/auth
20220920	19:49:34	c6b255f0-3316-42a6-92b3-948dbf7185f9	GET	undefined	/logout
20220920	20:08:12	f4c2c0ee-88ac-47e2-8e5e-ac14cf77cf6e	POST	undefined	/auth
20220920	20:08:26	2bc04f51-b17a-48de-bce8-9aa67ec85d96	GET	undefined	/employees
20220920	20:08:48	7ca1535a-bb6e-4b60-b127-3e4d98f4c31a	POST	undefined	/employees
20220920	20:10:22	203ab53a-de0f-43e0-ad30-bc3ba3bef5ee	POST	undefined	/employees
20220920	20:11:29	3c738010-eda6-46d1-9257-10413839dd0d	POST	undefined	/auth
20220920	20:11:44	dff5b179-7188-4361-b9f3-769e7297fb40	POST	undefined	/employees
20220920	20:16:36	fa39c11b-d11d-4c50-9a90-37a93f7137b2	POST	undefined	/employees
20220920	20:16:46	bb2f002b-67ea-4cad-a925-28283353fa05	POST	undefined	/auth
20220920	20:17:01	feaaf059-4b6b-43b5-8a05-c4fec5f9cbc1	POST	undefined	/employees
20220920	20:17:57	552500bd-8fa2-4a7d-ad95-891c69f02f1f	POST	undefined	/auth
20220920	20:18:05	540c9f5e-9d35-499f-b2bd-77e657dac7d0	POST	undefined	/employees
20220920	20:19:29	709750b6-3617-476d-a76d-86599ed8d864	POST	undefined	/employees
20220920	20:20:49	ebc787a1-34e7-42a4-9300-b9fcb25a9497	POST	undefined	/employees
20220920	20:21:26	feabd3e5-da09-4f34-8445-28d65b7e0e6a	POST	undefined	/employees
20220920	20:22:53	cc7862df-dfc6-4b41-b950-64bf990060df	GET	undefined	/employees/632a5906d8bb58b9533e9e32
20220920	20:23:21	5aebbdc4-bfbd-4579-a4dd-6ec34823fa98	POST	undefined	/employees
20220920	20:24:49	39d68cda-6de0-4b96-bed0-7406a7b8cad4	GET	undefined	/employees
20220920	20:25:43	d8789c47-7974-4f89-82df-fea8f3a70cb8	PUT	undefined	/employees
20220920	20:25:48	7d0bd1ee-fd07-441f-a703-af041ba2274c	GET	undefined	/employees
20220920	20:27:01	b48e19ac-50de-4491-8e59-4a9b0331dcdb	DELETE	undefined	/employees
20220920	20:27:07	90df87a3-1e10-4f55-830a-9604c7498601	GET	undefined	/employees
